demand_model,elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
uniform,25.0,20,Optimal,0.20833333333333334,200.0,960.0,20,200,199.99997953409076,0.044958667014725506,663,0.55,0.55,"3,16,17,24,28,34,43,48,63,78,82,85,101,105,120,121,125,136,137,152"
population_proxy,25.0,20,Optimal,0.41886557724564755,402.1109541558216,959.9999999999999,20,123,402.11093388067934,0.03969249996589497,663,0.55,0.6608163216462144,"9,11,23,38,48,49,51,54,69,92,112,114,121,133,137,160,177,186,191,198"
worldpop_raster,25.0,20,Optimal,0.43318795131779475,415.860433265083,960.0,20,95,415.8604130511932,0.04148183297365904,663,0.55,0.596301607881824,"9,23,38,51,54,69,91,92,97,112,114,121,133,156,160,172,177,180,181,191"
