elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.6726116418365857,645.7071761631223,960.0,5,117,645.7071705391943,0.2425404170062393,5777,0.9052083333333333,0.9959472919831297,"2,9,10,23,76"
0.0,10,Optimal,0.9318060146903623,894.5337741027478,960.0,10,311,894.533762441841,0.23949770798208192,5777,0.9052083333333333,0.9959472919831297,"10,15,23,51,54,76,96,97,112,198"
0.0,15,Optimal,0.9815699248992027,942.3071279032346,960.0,15,421,942.3071106771359,1.4519330419716425,5777,0.9052083333333333,0.9959472919831297,"9,10,15,22,23,43,51,54,57,76,86,97,112,144,198"
0.0,20,Optimal,0.9956497374073319,955.8237479110386,960.0,20,541,955.8237252115599,1.318740458053071,5777,0.9052083333333333,0.9959472919831297,"9,19,22,23,25,31,36,38,43,54,69,76,86,90,91,127,144,180,181,198"
0.0,30,Optimal,0.9959472891614145,956.109397594958,960.0,30,606,956.1093645242731,0.45497979200445116,5777,0.9052083333333333,0.9959472919831297,"9,12,16,19,22,23,25,33,38,39,40,41,43,48,64,67,73,76,78,79,90,93,112,115,127,138,144,148,166,180"
10.0,5,Optimal,0.42597108793140354,408.9322444141474,960.0,5,62,408.93223918781,0.11401770799420774,2267,0.775,0.8655398530699003,"54,58,96,114,180"
10.0,10,Optimal,0.606814442709737,582.5418650013474,960.0,10,150,582.5418544417986,0.10262037499342114,2267,0.775,0.8655398530699003,"23,58,69,92,96,114,156,171,172,180"
10.0,15,Optimal,0.7255328008836736,696.5114888483266,960.0,15,227,696.5114730158916,0.24854712502565235,2267,0.775,0.8655398530699003,"23,38,51,58,69,92,96,108,114,119,158,171,172,180,198"
10.0,20,Optimal,0.7962534548358016,764.4033166423695,960.0,20,285,764.4032956004289,0.46659737499430776,2267,0.775,0.8655398530699003,"23,38,58,69,76,91,92,96,108,114,119,127,144,158,160,172,173,178,180,198"
10.0,30,Optimal,0.854186520075586,820.0190592725626,960.0,30,350,820.0190280108485,0.30030366696882993,2267,0.775,0.8655398530699003,"9,23,38,49,51,57,58,68,69,72,76,91,92,96,115,121,130,133,144,150,158,160,166,172,173,178,180,181,182,191"
25.0,5,Optimal,0.21558008372856943,206.95688037942665,960.0,5,23,206.95687532625777,0.041083999967668205,663,0.55,0.596301607881824,"9,51,92,114,156"
25.0,10,Optimal,0.3130314630252378,300.5102045042283,960.0,10,50,300.5101943875797,0.041169999982230365,663,0.55,0.596301607881824,"9,38,51,54,69,92,114,156,172,180"
25.0,15,Optimal,0.38128982321027394,366.038230281863,960.0,15,65,366.03821513536155,0.04163683298975229,663,0.55,0.596301607881824,"9,23,38,51,54,69,92,97,112,114,156,160,172,177,180"
25.0,20,Optimal,0.43318795131779475,415.860433265083,960.0,20,95,415.8604130511932,0.0407877920079045,663,0.55,0.596301607881824,"9,23,38,51,54,69,91,92,97,112,114,121,133,156,160,172,177,180,181,191"
25.0,30,Optimal,0.5091606821740955,488.7942548871317,960.0,30,132,488.79422458721785,0.04267258301842958,663,0.55,0.596301607881824,"2,9,15,22,23,38,49,51,54,69,72,83,91,92,97,106,112,114,119,121,133,137,156,160,172,177,180,181,191,198"
