place_id,name,adm0name,latitude_deg,longitude_deg,population,rank_max,source
_Pizen,Pizen,Czechia,49.740438,13.360001,164180.0,9,natural_earth_populated_places
_Phitsanulok,Phitsanulok,Thailand,16.828313,100.272887,164017.0,9,natural_earth_populated_places
_Myingyan,Myingyan,Myanmar,21.461828,95.391428,163812.0,9,natural_earth_populated_places
_Dagupan,Dagupan,Philippines,16.047895,120.340809,163676.0,9,natural_earth_populated_places
_Patra,Patra,Greece,38.230004,21.729981,163360.0,9,natural_earth_populated_places
_Ingolstadt,Ingolstadt,Germany,48.77042,11.449988,163325.0,9,natural_earth_populated_places
_La Vega,La Vega,Dominican Republic,19.216591,-70.516585,163197.0,9,natural_earth_populated_places
_Mostar,Mostar,Bosnia and Herzegovina,43.350492,17.820039,163067.0,9,natural_earth_populated_places
_Navsari,Navsari,India,20.850393,72.920034,163000.0,9,natural_earth_populated_places
_Geneina,Geneina,Sudan,13.450017,22.440015,162981.0,9,natural_earth_populated_places
_Tartus,Tartus,Syria,34.884634,35.886584,162980.0,9,natural_earth_populated_places
_Fargo,Fargo,United States of America,46.877228,-96.789426,162842.0,9,natural_earth_populated_places
_Simao,Simao,China,22.780688,100.978167,162725.0,9,natural_earth_populated_places
_La Rioja,La Rioja,Argentina,-29.40995,-66.849961,162620.0,9,natural_earth_populated_places
_Lecce,Lecce,Italy,40.36039,18.149993,162582.0,9,natural_earth_populated_places
_Mahabad,Mahabad,Iran,36.770377,45.720041,162434.0,9,natural_earth_populated_places
_Salamanca,Salamanca,Spain,40.970405,-5.67,162353.0,9,natural_earth_populated_places
_Dourados,Dourados,Brazil,-22.230027,-54.809998,162202.0,9,natural_earth_populated_places
_Ash Shatrah,Ash Shatrah,Iraq,31.417525,46.177222,161949.0,9,natural_earth_populated_places
_Settat,Settat,Morocco,33.010426,-7.620011,161748.0,9,natural_earth_populated_places
_Wilmington,Wilmington,United States of America,39.746268,-75.546898,161560.0,9,natural_earth_populated_places
_Wilmington,Wilmington,United States of America,34.225519,-77.94502,161560.0,9,natural_earth_populated_places
_Budaun,Budaun,India,28.030006,79.089994,161555.0,9,natural_earth_populated_places
_Tunja,Tunja,Colombia,5.550448,-73.370028,161412.0,9,natural_earth_populated_places
_Coquimbo,Coquimbo,Chile,-29.952915,-71.343615,161317.0,9,natural_earth_populated_places
_Rubtsovsk,Rubtsovsk,Russia,51.520019,81.21002,161065.0,9,natural_earth_populated_places
_Bhisho,Bhisho,South Africa,-32.869997,27.389997,160997.0,9,natural_earth_populated_places
_Geelong,Geelong,Australia,-38.167495,144.395634,160991.0,9,natural_earth_populated_places
_Ras al Khaymah,Ras al Khaymah,United Arab Emirates,25.791538,55.942776,160849.0,9,natural_earth_populated_places
_Sullana,Sullana,Peru,-4.889587,-80.679996,160789.0,9,natural_earth_populated_places
_Malakal,Malakal,South Sudan,9.536897,31.65599,160765.0,9,natural_earth_populated_places
_Bumba,Bumba,Congo (Kinshasa),2.189981,22.459962,160539.0,9,natural_earth_populated_places
_Xiaogan,Xiaogan,China,30.920398,113.900014,160437.0,9,natural_earth_populated_places
_Ponce,Ponce,Puerto Rico,18.000386,-66.616642,160334.0,9,natural_earth_populated_places
_Xapeco,Xapeco,Brazil,-27.100014,-52.640028,160157.0,9,natural_earth_populated_places
_Taunggyi,Taunggyi,Myanmar,20.781999,97.038001,160115.0,9,natural_earth_populated_places
_Lázaro Cárdenas,Lázaro Cárdenas,Mexico,17.958709,-102.199974,160087.0,9,natural_earth_populated_places
_Gonbad-e Kavus,Gonbad-e Kavus,Iran,37.251821,55.171454,159982.0,9,natural_earth_populated_places
_Salavat,Salavat,Russia,53.370346,55.92996,159893.0,9,natural_earth_populated_places
_Valdivia,Valdivia,Chile,-39.821651,-73.233111,159599.0,9,natural_earth_populated_places
_Pagadian,Pagadian,Philippines,7.852969,123.507024,159590.0,9,natural_earth_populated_places
_Nakhodka,Nakhodka,Russia,42.837449,132.887434,159551.0,9,natural_earth_populated_places
_Nakhodka,Nakhodka,Russia,67.750398,77.51996,159551.0,9,natural_earth_populated_places
_Tarija,Tarija,Bolivia,-21.516685,-64.749986,159269.0,9,natural_earth_populated_places
_Zarzis,Zarzis,Tunisia,33.510395,11.099984,159161.0,9,natural_earth_populated_places
_Punta del Este,Punta del Este,Uruguay,-34.969973,-54.94999,159000.0,9,natural_earth_populated_places
_York,York,United Kingdom,53.951168,-1.072104,158947.0,9,natural_earth_populated_places
_Wilkes-Barre,Wilkes-Barre,United States of America,41.249044,-75.877937,158913.0,9,natural_earth_populated_places
_Cuddalore,Cuddalore,India,11.720407,79.770004,158569.0,9,natural_earth_populated_places
_Rio Largo,Rio Largo,Brazil,-9.480004,-35.839968,158545.0,9,natural_earth_populated_places
_Samarra,Samarra,Iraq,34.193997,43.875001,158508.0,9,natural_earth_populated_places
_Maykop,Maykop,Russia,44.609976,40.120021,158451.0,9,natural_earth_populated_places
_Abéché,Abéché,Chad,13.839994,20.829984,158317.0,9,natural_earth_populated_places
_Barreiras,Barreiras,Brazil,-12.139997,-45.000003,158292.0,9,natural_earth_populated_places
_Odense,Odense,Denmark,55.400377,10.383335,158222.0,9,natural_earth_populated_places
_Lafayette,Lafayette,United States of America,30.199977,-92.019949,158214.0,9,natural_earth_populated_places
_Huánuco,Huánuco,Peru,-9.920029,-76.240008,158145.0,9,natural_earth_populated_places
_Hoshiarpur,Hoshiarpur,India,31.519974,75.980003,158142.0,9,natural_earth_populated_places
_Albacete,Albacete,Spain,39.000344,-1.87,158094.0,9,natural_earth_populated_places
_Melitopol,Melitopol,Ukraine,46.837825,35.377468,158000.0,9,natural_earth_populated_places
_Sobral,Sobral,Brazil,-3.690021,-40.350028,157996.0,9,natural_earth_populated_places
_Sudbury,Sudbury,Canada,46.49999,-80.966645,157857.0,9,natural_earth_populated_places
_Surat Thani,Surat Thani,Thailand,9.150099,99.340127,157627.0,9,natural_earth_populated_places
_Hurghada,Hurghada,Egypt,27.230003,33.830017,157204.0,9,natural_earth_populated_places
_Isiro,Isiro,Congo (Kinshasa),2.759972,27.620009,157196.0,9,natural_earth_populated_places
_Puerto Princesa,Puerto Princesa,Philippines,9.754268,118.744384,157144.0,9,natural_earth_populated_places
_Kashmar,Kashmar,Iran,35.18143,58.45146,157135.0,9,natural_earth_populated_places
_Ussuriysk,Ussuriysk,Russia,43.800025,132.019993,157068.0,9,natural_earth_populated_places
_Rustavi,Rustavi,Georgia,41.570368,45.050004,157063.0,9,natural_earth_populated_places
_Tiraspol,Tiraspol,Moldova,46.853095,29.639989,157000.0,9,natural_earth_populated_places
_Afyon,Afyon,Turkey,38.750385,30.550011,156992.0,9,natural_earth_populated_places
_Olympia,Olympia,United States of America,47.038045,-122.899434,156984.0,9,natural_earth_populated_places
_Zonguldak,Zonguldak,Turkey,41.430377,31.780013,156918.0,9,natural_earth_populated_places
_Matsue,Matsue,Japan,35.466994,133.066647,156811.0,9,natural_earth_populated_places
_Salinas,Salinas,United States of America,36.682217,-121.641655,156784.0,9,natural_earth_populated_places
_Moundou,Moundou,Chad,8.549981,16.090015,156705.0,9,natural_earth_populated_places
_Dali,Dali,China,25.593731,100.250319,156685.0,9,natural_earth_populated_places
_Koforidua,Koforidua,Ghana,6.090415,-0.260021,156653.0,9,natural_earth_populated_places
_Uroteppa,Uroteppa,Tajikistan,39.921916,69.001462,156621.0,9,natural_earth_populated_places
_Livorno,Livorno,Italy,43.551134,10.302275,156274.0,9,natural_earth_populated_places
_Gondar,Gondar,Ethiopia,12.610043,37.460028,156230.0,9,natural_earth_populated_places
_Scranton,Scranton,United States of America,41.409293,-75.662679,156196.0,9,natural_earth_populated_places
_Ciudad del Carmen,Ciudad del Carmen,Mexico,18.653659,-91.82448,156195.0,9,natural_earth_populated_places
_Malabo,Malabo,Equatorial Guinea,3.750015,8.783278,155963.0,9,natural_earth_populated_places
_Yulin,Yulin,China,38.283308,109.733291,155960.0,9,natural_earth_populated_places
_Shkodër,Shkodër,Albania,42.068452,19.51885,155767.0,9,natural_earth_populated_places
_Sioux Falls,Sioux Falls,United States of America,43.549989,-96.729998,155724.0,9,natural_earth_populated_places
_Muroran,Muroran,Japan,42.349959,140.980015,155676.0,9,natural_earth_populated_places
_Sibiu,Sibiu,Romania,45.797113,24.137121,155565.0,9,natural_earth_populated_places
_Batumi,Batumi,Georgia,41.600005,41.630007,155542.0,9,natural_earth_populated_places
_Barysaw,Barysaw,Belarus,54.226004,28.492152,155389.0,9,natural_earth_populated_places
_Gyeongju,Gyeongju,South Korea,35.842759,129.211689,155237.0,9,natural_earth_populated_places
_Innsbruck,Innsbruck,Austria,47.280407,11.409991,155214.0,9,natural_earth_populated_places
_Foggia,Foggia,Italy,41.460478,15.55997,155203.0,9,natural_earth_populated_places
_Ordu,Ordu,Turkey,41.000429,37.869926,155117.0,9,natural_earth_populated_places
_Kanchipuram,Kanchipuram,India,12.833724,79.716674,155029.0,9,natural_earth_populated_places
_Sariwon,Sariwon,North Korea,38.507004,125.762005,154942.0,9,natural_earth_populated_places
_Bei'an,Bei'an,China,48.246263,126.528604,154936.0,9,natural_earth_populated_places
_Antakya,Antakya,Turkey,36.233334,36.116677,154803.0,9,natural_earth_populated_places
_Battambang,Battambang,Cambodia,13.100013,103.200047,154773.0,9,natural_earth_populated_places
_Guangshui,Guangshui,China,31.620381,114.000008,154771.0,9,natural_earth_populated_places
_Middelburg,Middelburg,South Africa,-25.759631,29.470025,154706.0,9,natural_earth_populated_places
_Mahajanga,Mahajanga,Madagascar,-15.670014,46.345016,154657.0,9,natural_earth_populated_places
_La Serena,La Serena,Chile,-29.899998,-71.249977,154521.0,9,natural_earth_populated_places
_Chetumal,Chetumal,Mexico,18.500019,-88.299996,154517.0,9,natural_earth_populated_places
_Gandajika,Gandajika,Congo (Kinshasa),-6.739603,23.960026,154425.0,9,natural_earth_populated_places
_Pathum Thani,Pathum Thani,Thailand,14.017115,100.533336,154412.0,9,natural_earth_populated_places
_Cairns,Cairns,Australia,-16.88784,145.763331,154225.0,9,natural_earth_populated_places
_Kovrov,Kovrov,Russia,56.36037,41.330025,154224.0,9,natural_earth_populated_places
_Osorno,Osorno,Chile,-40.578707,-73.130661,154131.0,9,natural_earth_populated_places
_Tottori,Tottori,Japan,35.500377,134.233295,154098.0,9,natural_earth_populated_places
_San Cristóbal,San Cristóbal,Dominican Republic,18.415998,-70.109,154040.0,9,natural_earth_populated_places
_Lemosos,Lemosos,Cyprus,34.675414,33.033322,154000.0,9,natural_earth_populated_places
_Moanda,Moanda,Congo (Kinshasa),-5.922909,12.354997,153915.0,9,natural_earth_populated_places
_Río Cuarto,Río Cuarto,Argentina,-33.130033,-64.349985,153757.0,9,natural_earth_populated_places
_Masjed Soleyman,Masjed Soleyman,Iran,31.979998,49.299926,153663.0,9,natural_earth_populated_places
_Mufulira,Mufulira,Zambia,-12.549997,28.25997,153624.0,9,natural_earth_populated_places
_Niagara Falls,Niagara Falls,United States of America,43.094823,-79.036943,153134.0,9,natural_earth_populated_places
_Chincha Alta,Chincha Alta,Peru,-13.419609,-76.139988,153076.0,9,natural_earth_populated_places
_Faizabad,Faizabad,India,26.750394,82.170013,153047.0,9,natural_earth_populated_places
_Dingzhou,Dingzhou,China,38.500427,114.999998,152934.0,9,natural_earth_populated_places
_Rondonópolis,Rondonópolis,Brazil,-16.4695,-54.639983,152912.0,9,natural_earth_populated_places
_Ilam,Ilam,Iran,33.630414,46.430024,152894.0,9,natural_earth_populated_places
_Uşak,Uşak,Turkey,38.680364,29.420002,152862.0,9,natural_earth_populated_places
_Nusaybin,Nusaybin,Turkey,37.074984,41.218352,152668.0,9,natural_earth_populated_places
_San Francisco de Macorís,San Francisco de Macorís,Dominican Republic,19.299996,-70.250012,152538.0,9,natural_earth_populated_places
_Zabīd,Zabīd,Yemen,14.195088,43.315537,152504.0,9,natural_earth_populated_places
_Silchar,Silchar,India,24.790411,92.790036,152393.0,9,natural_earth_populated_places
_Wenshan,Wenshan,China,23.372358,104.249698,152388.0,9,natural_earth_populated_places
_Novokuybishevsk,Novokuybishevsk,Russia,53.119999,49.91994,152334.0,9,natural_earth_populated_places
_Mudon,Mudon,Myanmar,16.261836,97.721466,152300.0,9,natural_earth_populated_places
_Limoges,Limoges,France,45.829979,1.249991,152199.0,9,natural_earth_populated_places
_Kerch,Kerch,Russia,45.368508,36.488098,152195.0,9,natural_earth_populated_places
_Deyang,Deyang,China,31.133331,104.399974,152194.0,9,natural_earth_populated_places
_Samalut,Samalut,Egypt,28.300429,30.710001,152097.0,9,natural_earth_populated_places
_Luanshya,Luanshya,Zambia,-13.133321,28.400013,151993.0,9,natural_earth_populated_places
_El Manaqil,El Manaqil,Sudan,14.250382,32.979992,151827.0,9,natural_earth_populated_places
_Abbotsford,Abbotsford,Canada,49.050377,-122.299987,151683.0,9,natural_earth_populated_places
_Fayetteville,Fayetteville,United States of America,36.062978,-94.157209,151671.0,9,natural_earth_populated_places
_Guanare,Guanare,Venezuela,9.049976,-69.750017,151642.0,9,natural_earth_populated_places
_Bintulu,Bintulu,Malaysia,3.166408,113.035984,151617.0,9,natural_earth_populated_places
_Dundee,Dundee,United Kingdom,56.470389,-3.000008,151592.0,9,natural_earth_populated_places
_Nazareth,Nazareth,Israel,32.703984,35.295509,151459.0,9,natural_earth_populated_places
