name,latitude_deg,longitude_deg,status
"Aerzen, Germany",52.0489,9.2683,operational
"Akita, Japan",39.72,140.1024,operational
"Akron, OH",41.0575,-81.5199,operational
"Alfouvar de Cima, Portugal",40.5167,-8.25,operational
"Anchorage, AK",61.2181,-149.9003,operational
"Angeles, Philippines",15.145,120.5887,operational
"Ashburn, VA",39.0157,-77.4649,operational
"Awarua, NZ",-46.5294,168.3781,operational
"Ballinspittle, Ireland",51.6508,-8.5808,operational
"Bandon, OR",43.2476,-124.3828,operational
"Banning, CA",33.9191,-116.8494,operational
"Bastrop, TX",30.1579,-97.4069,operational
"Baxley, GA",31.7791,-82.3485,operational
"Beekmantown, NY",44.7629,-73.5754,operational
"Bellingham, WA",48.7519,-122.4787,operational
"Big Ivy, TN",35.1599,-88.061,operational
"Bluffdale, UT",40.4798,-111.9042,operational
"Boca Chica, TX",26.0621,-97.1668,operational
"Boise, ID",43.5811,-116.29,operational
"Boorowa, Australia",-34.4392,148.7142,operational
"Brewster, WA",48.0962,-119.7806,operational
"Bridgewater, CT",41.5454,-73.3544,operational
"Broadview, IL",41.8642,-87.8534,operational
"Broken Hill, Australia",-31.9505,141.4681,operational
"Brooklyn Park, MN",45.144,-93.3858,operational
"Bulla Bulling, Australia",-31.1,121.0167,operational
"Burbank, CA",34.2001,-118.3438,operational
"Butte, MT",46.0038,-112.5348,operational
"Cabo San Lucas, Mexico",22.8905,-109.9167,operational
"Cal-Nev-Ari, NV",35.2987,-114.8745,operational
"Calais, ME",45.1714,-67.2476,operational
"Caldera, Chile",-27.0667,-70.8167,operational
"Calrossie, Australia",-36.45,145.3,operational
"Calverton, NY",40.9089,-72.7976,operational
"Camaçari, Brazil",-12.6996,-38.3263,operational
"Canyonleigh, Australia",-34.5333,150.2,operational
"Cass County, ND",46.93,-97.25,operational
"Cataby, Australia",-30.75,115.5333,operational
"Centennial, CO",39.5919,-104.8469,operational
"Chalfont Grove, UK",51.6167,-0.5667,operational
"Chantilly, VA",38.9102,-77.4727,operational
"Chapel Hill, NC",35.8958,-79.2267,operational
"Charcas, Mexico",23.1314,-101.1136,operational
"Charleston, SC",32.7765,-79.9311,operational
"Chaska, MN",44.851,-93.598,operational
"Chattanooga, TN",35.0317,-85.2975,operational
"Chicago, IL",41.8414,-87.6711,operational
"Chico, CA",39.7754,-121.9199,operational
"Clarksville, GA",34.6485,-83.5473,operational
"Cobargo, Australia",-36.3886,149.89,operational
"Colburn, ID",48.4,-116.55,operational
"Conrad, MT",48.17,-111.95,operational
"Corpus Christi, TX",27.7931,-97.4519,operational
"Cromwell, NZ",-45.05,169.2,operational
"Dallas, TX",32.7999,-96.8182,operational
"Debeque, CO",39.289,-108.205,operational
"Delta, UT",39.3461,-112.5894,operational
"Denver, CO",39.7457,-104.9954,operational
"Douglas, WY",42.7401,-105.3504,operational
"Draper, UT",40.4799,-111.8229,operational
"Dubois, ID",44.1704,-112.2251,operational
"Dubuque, IA",42.4446,-90.6785,operational
"Duluth, MN",46.8281,-92.1304,operational
"Dumas, TX",35.8628,-101.9732,operational
"Eagan, MN",44.8393,-93.1456,operational
"Edison, NJ",40.5211,-74.3451,operational
El Marques,20.7351,-100.2836,operational
"Elbert, CO",39.2239,-104.5347,operational
"Elfordstown, Ireland",52.0833,-8.25,operational
"Evanston, WY",41.2683,-110.9632,operational
"Fair Park, UT",40.7669,-111.9212,operational
"Fairbanks, AK",64.8378,-147.7164,operational
"Falda del Carmen, Argentina",-31.5333,-64.45,operational
"Foggia, Italy",41.4621,15.5444,operational
"Fort Lauderdale, FL",26.1224,-80.1373,operational
"Franklin Park, IL",41.9288,-87.8574,operational
"Frederick, MD",39.4143,-77.4105,operational
"Fremont, CA",37.4921,-121.9367,operational
"Ft. Lauderdale, FL",26.1911,-80.1934,operational
"Gaffney, SC",35.0718,-81.6498,operational
"Goodyear, AZ",33.4121,-112.4129,operational
"Goonhilly, UK",50.0502,-5.1825,operational
"Gordon, GA",32.8411,-83.2538,operational
"Grant District, WV",38.978,-79.1466,operational
"Greenville, PA",41.4028,-80.3812,operational
