starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Boorowa, Australia",-34.4392,148.7142,WorldPop baseline,7698.758594845971
"Boorowa, Australia",-34.4392,148.7142,Uniform + geopolitical constraint,854.437956081801
"Boorowa, Australia",-34.4392,148.7142,WorldPop + geopolitical constraint,6187.726911186349
"Brewster, WA",48.0962,-119.7806,Uniform baseline,578.2199178728591
"Brewster, WA",48.0962,-119.7806,WorldPop baseline,8035.497882680775
"Brewster, WA",48.0962,-119.7806,Uniform + geopolitical constraint,578.2199178728591
"Brewster, WA",48.0962,-119.7806,WorldPop + geopolitical constraint,578.2199178728591
"Bridgewater, CT",41.5454,-73.3544,Uniform baseline,627.6743591036574
"Bridgewater, CT",41.5454,-73.3544,WorldPop baseline,5881.351625782761
"Bridgewater, CT",41.5454,-73.3544,Uniform + geopolitical constraint,1677.5490491249466
"Bridgewater, CT",41.5454,-73.3544,WorldPop + geopolitical constraint,347.99046295003615
"Broadview, IL",41.8642,-87.8534,Uniform baseline,1283.785519414722
"Broadview, IL",41.8642,-87.8534,WorldPop baseline,6819.079419193179
"Broadview, IL",41.8642,-87.8534,Uniform + geopolitical constraint,1283.785519414722
"Broadview, IL",41.8642,-87.8534,WorldPop + geopolitical constraint,714.7387952431183
"Broken Hill, Australia",-31.9505,141.4681,Uniform baseline,1091.6438458546602
"Broken Hill, Australia",-31.9505,141.4681,WorldPop baseline,7250.562283752813
"Broken Hill, Australia",-31.9505,141.4681,Uniform + geopolitical constraint,138.58547188473733
"Broken Hill, Australia",-31.9505,141.4681,WorldPop + geopolitical constraint,5647.638364835806
"Brooklyn Park, MN",45.144,-93.3858,Uniform baseline,786.1030915132973
"Brooklyn Park, MN",45.144,-93.3858,WorldPop baseline,6918.1590907389655
"Brooklyn Park, MN",45.144,-93.3858,Uniform + geopolitical constraint,786.1030915132973
"Brooklyn Park, MN",45.144,-93.3858,WorldPop + geopolitical constraint,610.6406105784554
"Bulla Bulling, Australia",-31.1,121.0167,Uniform baseline,1418.2745499136834
"Bulla Bulling, Australia",-31.1,121.0167,WorldPop baseline,6714.909154737823
"Bulla Bulling, Australia",-31.1,121.0167,Uniform + geopolitical constraint,1418.2745499136834
"Bulla Bulling, Australia",-31.1,121.0167,WorldPop + geopolitical constraint,4563.372808394997
"Burbank, CA",34.2001,-118.3438,Uniform baseline,1622.5159054599508
