site,latitude_deg,longitude_deg
"Rawlins, WY",41.7765,-107.37052777777777
"Casa Grande, AZ",32.892833333333336,-111.51205555555556
"Mount Ulla, NC",35.649499999999996,-80.66813888888889
"Kapolei, HI",21.33588888888889,-158.08911111111112
"Kahului, HI",20.817194444444443,-156.45441666666665
"Whiting, ME",44.749944444444445,-67.2563611111111
"Carr, CO",40.85677777777778,-104.79952777777778
"Owatonna, MN",43.99647222222222,-93.32533333333333
"Raymond, OH",40.33175000000001,-83.45508333333333
