portfolio,mean,median,max,within_1000km_pct
Argus WorldPop baseline,6802.6,7153.8,9758.0,7.6
Argus WorldPop geopolitical,1569.2,881.1,8248.3,57.6
Argus uniform baseline,1730.3,1226.5,8462.5,34.0
Argus uniform geopolitical,1837.1,1622.9,6071.1,26.4
