name,latitude_deg,longitude_deg,status,excluded_zone,geopolitical_allowed_by_argus_rule
"Lisle, IL",41.8006,-88.0961,operational,,True
"Litchfield, MN",45.12,-94.53,operational,,True
"Lithia Springs, GA",33.7459,-84.5795,operational,,True
"Llano Grande, Mexico",19.34,-97.008,operational,,True
"Lockport, NY",43.1709,-78.6903,operational,,True
"Loring, ME",46.95,-67.89,operational,,True
"Los Angeles, CA",34.0581,-118.2354,operational,,True
"Lunenburg, VT",44.412,-71.7318,operational,,True
"Luz, Brazil",-19.79,-44.7325,operational,,True
"Lynnwood, WA",47.8417,-122.3009,operational,,True
"Madera, CA",36.8588,-119.9105,operational,,True
"Manaus, Brazil",-3.119,-60.0217,operational,,True
"Mandale, NC",35.895778,-79.226722,operational,,True
"Manistique, MI",45.9575,-86.2464,operational,,True
"Marathon, ON",48.754,-86.379,operational,,True
"Marcell, MN",47.593,-93.6941,operational,,True
"Marsala, Italy",37.7986,12.4357,operational,,True
"Mazahua, Mexico",19.65,-100.05,operational,,True
"McGregor, TX",31.44,-97.41,operational,,True
"Merida, Mexico",20.9674,-89.5926,operational,,True
"Merredin, Australia",-31.4833,118.2833,operational,,True
"Merrillan, WI",44.45,-90.8333,operational,,True
"Mesa, AZ",33.4212,-111.8592,operational,,True
"Miami, FL",25.7915,-80.3797,operational,,True
"Milano, Italy",45.4642,9.19,operational,,True
"Milwaukee, WI",43.1512,-88.0088,operational,,True
"Minneapolis, MN",44.9709,-93.2544,operational,,True
"Molokai, HI",21.1333,-157.0167,operational,,True
Monterey,36.2231,-121.3877,operational,,True
Montes Carlos,9.2895,-75.3994,operational,,True
"Mossoró, Brazil",-5.1878,-37.3441,operational,,True
"Mt. Ayr, IN",39.975,-87.3036,operational,,True
"Muallim, Turkey",40.0333,30.05,operational,,True
"Murayjat, Oman",23.588,58.545,operational,,True
"Myrtle Beach, SC",33.71,-78.8958,operational,,True
"Nemaha, NE",40.3408,-95.6708,operational,,True
"New Braunfels, TX",29.703,-98.1245,operational,,True
"New York, NY",40.7178,-74.0083,operational,,True
"Niland, CA",33.2205,-115.4668,operational,,True
"Nome, AK",64.5011,-165.4064,operational,,True
"Norcross, GA",33.941,-84.2135,operational,,True
"North Miami, FL",25.9496,-80.1918,operational,,True
"Northlake, IL",41.92,-87.9113,operational,,True
"Noviciado, Chile",-33.4167,-70.9333,operational,,True
"Otaru, Japan",43.1907,140.9945,operational,,True
"Oxford, AL",33.5936,-85.8768,operational,,True
"Panaca, NV",37.8,-114.39,operational,,True
"Perry, FL",30.0616,-83.5805,operational,,True
"Peñuelas, Mexico",21.8422,-102.3344,operational,,True
"Phoenix, AZ",33.6841,-112.0983,operational,,True
"Pimba, Australia",-31.2833,136.8,operational,,True
"Pine Valley, CA",32.7014,-116.3651,operational,,True
"Piscataway, NJ",40.5434,-74.498,operational,,True
"Piti, GU",13.4156,144.6879,operational,,True
"Ponce, PR",18.0111,-66.6141,operational,,True
"Port St. Lucie, FL",27.2813,-80.4831,operational,,True
